0,horrible
0," . . . for all its social and political potential , state property doesn't end up being very inspiring or insightful ."
0,"none of these characters resembles anyone you've ever met in real life , unless you happen to know annoyingly self-involved people who speak in glib sentences that could have only come from the pen of a screenwriter ."
0, . . . a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .
0,"it's like a drive-by . you can drive right by it without noticing anything special , save for a few comic turns , intended and otherwise ."
0,"the film falls short on tension , eloquence , spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries ."
0,"certain to be distasteful to children and adults alike , eight crazy nights is a total misfire ."
0,"with its hints of a greater intelligence lurking somewhere , the ring makes its stupidity more than obvious . it's painful ."
1,"satisfyingly scarifying , fresh and old-fashioned at the same time ."
1,"what bloody sunday lacks in clarity , it makes up for with a great , fiery passion ."
1,"the year 2002 has conjured up more coming-of-age stories than seem possible , but take care of my cat emerges as the very best of them ."
1,astonishingly skillful and moving . . . it could become a historically significant work as well as a masterfully made one .
1,a riveting story well told .
1,"contradicts everything we've come to expect from movies nowadays . instead of simply handling conventional material in a conventional way , secretary takes the most unexpected material and handles it in the most unexpected way ."
1,"it's a much more emotional journey than what shyamalan has given us in his past two movies , and gibson , stepping in for bruce willis , is the perfect actor to take us on the trip ."
1,count on his movie to work at the back of your neck long after you leave the theater .
