3,What 2th-century American poet wrote a four-volume biography of Abraham Lincoln ?
3,What culture developed the idea of potlatch ?
3,What university fired Angela Davis ?
3,What is the best art and design school in the world ?
3,"What Frenchman claimed the following ? If God did not exist , it would be necessary to invent him . ''"
3,Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?
3,Who claimed to be the world 's most perfectly-developed man ?
3,Who headed Hitler 's infamous Gestapo ?
4,What Nevada center has been dubbed The Biggest Little City in the World ?
4,What city in Florida is Sea World in ?
4,What state did Helen Keller call home ?
4,Where was the largest concentration camp in World War II ?
4,What is the Homelite Inc. home page ?
4,Where can I buy movies on videotape online ?
4,What is the oldest website on the Internet ?
4,Where can I find information about touring the Philippines ?
0,What happens to the female body with lack of sleep and food ?
0,How do storms form ?
0,How did the jack-o '-lantern get it 's name ?
0,What is the difference between a classical and an acoustic guitar ?
0,How do you get a broken cork out of a bottle ?
0,How did the war of 1812 affect Delaware ?
0,Why does it snow ?
0,What is a Guild ?
5,How many different vegetation zones are there ?
5,When were fish first believed to be found on earth ?
5,How long ago was the Roe vs. Wade decision by the Supreme Court ?
5,How many bends are there in a standard paper clip ?
5,How old is the Italian artist Maurizio Pellegrin ?
5,How many different languages are spoken in Europe ?
5,What does a teaspoon of matter weigh in a black hole ?
5,What chapter of the Bible has the most verses ?
1,What is the name of the kids ' show from Canadian Public TV with the singing pineapple ?
1,What was the first Gilbert and Sullivan opera ?
1,What kind of dog is Scooby Doo ?
1,What animal dined on bread and oysters with a carpenter ?
1,How do you say I love you in Spanish ?
1,Which airplane was Fawaz Younis convicted of hijacking ?
1,What kind of car did Janis Joplin ask the Lord to buy her ?
1,What is the fear of the computer called ?
2,What is LMDS ?
2,What do the letters ZIP stand for in the phrase `` ZIP code '' ?
2,What does the `` blue ribbon '' stand for ?
2,What does the E stand for in the equation E=mc2 ?
2,What does MSG stand for ?
2,What does SIDS stand for ?
2,What is DEET ?
2,What does BTU mean ?
