1	0
what 's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .	3
beyond the cleverness , the weirdness and the pristine camerawork , one hour photo is a sobering meditation on why we take pictures .	3
nice piece of work .	3
the closest thing to the experience of space travel	3
despite the surface attractions -- conrad l. hall 's cinematography will likely be nominated for an oscar next year -- there 's something impressive and yet lacking about everything .	3
the movie , despite its rough edges and a tendency to sag in certain places , is wry and engrossing .	3
sometimes charming , sometimes infuriating , this argentinean ` dramedy ' succeeds mainly on the shoulders of its actors .	3
elling builds gradually until you feel fully embraced by this gentle comedy .	3
this is amusing for about three minutes .	2
crikey indeed .	2
handsome and sincere but slightly awkward in its combination of entertainment and evangelical boosterism .	2
about a boy vividly recalls the cary grant of room for one more , houseboat and father goose in its affectionate depiction of the gentle war between a reluctant , irresponsible man and the kid who latches onto him .	2
this is n't a terrible film by any means , but it 's also far from being a realized work .	2
this film was made by and for those folks who collect the serial killer cards and are fascinated by the mere suggestion of serial killers .	2
it 's deep-sixed by a compulsion to catalog every bodily fluids gag in there 's something about mary and devise a parallel clone-gag .	2
with a confrontational stance , todd solondz takes aim on political correctness and suburban families .	2
ever see one of those comedies that just seem like a bad idea from frame one ?	1
yes , spirited away is a triumph of imagination , but it 's also a failure of storytelling .	1
aan opportunity wasted .	1
the dialogue is cumbersome , the simpering soundtrack and editing more so .	1
the acting is fine but the script is about as interesting as a recording of conversations at the wal-mart checkout line .	1
as the mediterranean sparkles , ` swept away ' sinks .	1
it 's also built on a faulty premise , one it follows into melodrama and silliness .	1
the modern-day characters are nowhere near as vivid as the 19th-century ones .	1
this comic gem is as delightful as it is derivative .	4
last orders nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced .	4
an engrossing and infectiously enthusiastic documentary .	4
a lively and engaging examination of how similar obsessions can dominate a family .	4
tully is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham .	4
with a cast of a-list brit actors , it is worth searching out .	4
it 's endlessly inventive , consistently intelligent and sickeningly savage .	4
ryan gosling is , in a word , brilliant as the conflicted daniel .	4
you 'll find yourself wishing that you and they were in another movie .	0
one of the more glaring signs of this movie 's servitude to its superstar is the way it skirts around any scenes that might have required genuine acting from ms. spears .	0
crummy .	0
it 's a road-trip drama with too many wrong turns .	0
turns a potentially interesting idea into an excruciating film school experience that plays better only for the film 's publicists or for people who take as many drugs as the film 's characters	0
then again , in a better movie , you might not have noticed .	0
lacks the spirit of the previous two , and makes all those jokes about hos and even more unmentionable subjects seem like mere splashing around in the muck .	0
abysmally pathetic	0
