1	0
the touch buttons are textured so that your finger sdon 't slip which was very thoughtful .	1
still , at least from my perspective , a great camera for the money , and i 'm a happy camper ! .	1
 	1
in conclusion , i gave the ipod a 4/5 because anything this expensive should would work just about flawlessly .	1
8 . connected the phone to my tablet pc and now can access company von at 56k speed via bluetooth .	1
other than that , the simian series 60 os is great and offers lots of proprietary software that will work on your phone if you 're willing to hunt for it .	1
strong points : - design : small , comfortable , curved , and stylish .	1
it doesn 't stink , ever ( like some have assumed since it doesn 't wrap each diaper into its own neat little cocoon ) .	1
norton support is completely pathetic .	0
on occasion i 'm not able to connect to the phone with isync via bluetooth but i found that rebooting the phone seems to solve this problem .	0
i could hardly use it without a recharge in 2 days ! .	0
there is also no voice recording , something most if not all mp3 players have that the ipod doesn 't .	0
and the battery life is bad ! .	0
in noisy environment , it 's hard to hear from the earpiece .	0
but i had to give you four because the service for my brand-new ipod was terribly slow .	0
long reboots due to norton taking forever to boot .	0
