1	0
supposedly based upon real , or at least soberly reported incidents , the film ends with a large human tragedy . alas , getting there is not even half the interest .	0
the disjointed mess flows as naturally as jolie's hideous yellow 'do .	0
it's a road-trip drama with too many wrong turns .	0
if we don't demand a standard of quality for the art that we choose , we deserve the trash that we get .	0
has the marks of a septuagenarian ; it's a crusty treatment of a clever gimmick .	0
the movie quickly drags on becoming boring and predictable . i tried to read the time on my watch .	0
jaglom offers the none-too-original premise that everyone involved with moviemaking is a con artist and a liar .	0
meticulously mounted , exasperatingly well-behaved film , which ticks off kahlo's lifetime milestones with the dutiful precision of a tax accountant .	0
nicholson's understated performance is wonderful . as warren he stumbles in search of all the emotions and life experiences he's neglected over the years .	1
confessions may not be a straightforward bio , nor does it offer much in the way of barris' motivations , but the film is an oddly fascinating depiction of an architect of pop culture .	1
fast and funny , an action cartoon that's suspenseful enough for older kids but not too scary for the school-age crowd .	1
you don't need to be a hip-hop fan to appreciate scratch , and that's the mark of a documentary that works .	1
the tonal shifts are jolting , and though wen's messages are profound and thoughtfully delivered , more thorough transitions would have made the film more cohesive .	1
[woo's] most resonant film since the killer .	1
even though the film doesn't manage to hit all of its marks , it's still entertaining to watch the target practice .	1
overall very good for what it's trying to do .	1
