4,it has that rare quality of being able to creep the living hell out of you ...
4,"a fascinating , bombshell documentary that should shame americans , regardless of whether or not ultimate blame finally lies with kissinger ."
4,an engrossing portrait of a man whose engaging manner and flamboyant style made him a truly larger-than-life character .
4,"see scratch for the history , see scratch for the music , see scratch for a lesson in scratching , but , most of all , see it for the passion ."
4,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh ."
4,"for all its visual panache and compelling supporting characters , the heart of the film rests in the relationship between sullivan and his son ."
4,"( a ) wonderfully loopy tale of love , longing , and voting ."
4,intelligent and moving .
1,the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence .
1,it 's bedeviled by labored writing and slack direction .
1,"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness ."
1,low comedy does n't come much lower .
1,"russell lacks the visual panache , the comic touch , and perhaps the budget of sommers 's title-bout features ."
1,"behan 's memoir is great material for a film -- rowdy , brawny and lyrical in the best irish sense -- but sheridan has settled for a lugubrious romance ."
1,seems like something american and european gay movies were doing 20 years ago .
1,"the idea is more interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run ."
3,... a funny yet dark and seedy clash of cultures and generations .
3,"fessenden has nurtured his metaphors at the expense of his narrative , but he does display an original talent ."
3,"there are n't many conclusive answers in the film , but there is an interesting story of pointed personalities , courage , tragedy and the little guys vs. the big guys ."
3,poignant if familiar story of a young person suspended between two cultures .
3,"k-19 will not go down in the annals of cinema as one of the great submarine stories , but it is an engaging and exciting narrative of man confronting the demons of his own fear and paranoia ."
3,"like the rugrats movies , the wild thornberrys movie does n't offer much more than the series , but its emphasis on caring for animals and respecting other cultures is particularly welcome ."
3,"it 's an ambitious film , and as with all ambitious films , it has some problems ."
3,a hypnotic cyber hymn and a cruel story of youth culture .
2,` tobey maguire is a poster boy for the geek generation . '
2,"sometimes entertaining , sometimes indulgent -- but never less than pure wankery ."
2,for free .
2,handsome and sincere but slightly awkward in its combination of entertainment and evangelical boosterism .
2,"` men in black ii creates a new threat for the mib , but recycles the same premise ."
2,"the santa clause 2 is a barely adequate babysitter for older kids , but i 've got to give it thumbs down ."
2,stuart 's poor-me persona needs a whole bunch of snowball 's cynicism to cut through the sugar coating .
2,exposing the ways we fool ourselves is one hour photo 's real strength .
0,movies like high crimes flog the dead horse of surprise as if it were an obligation .
0,"a depraved , incoherent , instantly disposable piece of hackery ."
0,"this hastily mounted production exists only to capitalize on hopkins ' inclination to play hannibal lecter again , even though harris has no immediate inclination to provide a fourth book ."
0,the most horrific movie experience i 've had since `` ca n't stop the music . ''
0,"the movie is concocted and carried out by folks worthy of scorn , and the nicest thing i can say is that i ca n't remember a single name responsible for it ."
0,"spreads itself too thin , leaving these actors , as well as the members of the commune , short of profound characterizations"
0,"it ends up being neither , and fails at both endeavors ."
0,"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !"
