1	0
there's a heavy stench of 'been there , done that' hanging over the film . it's everything you'd expect -- but nothing more .	0
the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration .	0
craig bartlett and director tuck tucker should be commended for illustrating the merits of fighting hard for something that really matters .	0
the heart of the film is the drop dead sexy drea de matteo who , as the mother and real head of the family , commands every scene .	0
it is , by conventional standards , a fairly terrible movie . . . but it is also weirdly fascinating , a ready-made eurotrash cult object . it is also , at times , curiously moving .	0
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms .	0
turns out to be much more complex than the originally released gem .	0
a movie that tries to fuse the two 'woods' but winds up a bolly-holly masala mess .	0
will tom be able to persuade his naturally cautious and terminally confused fianc&#233 ; e to work through all the damage and chaos ?	1
at the end of the worst day of his life , bruce angrily ridicules and rages against god and god responds .	1
when the skittish emma finds blood on her pillow why does she still stay behind ?	1
the plan slowly unravels when sarah and her lover suspect that her husband has found out .	1
two brothers choose the opposite sides in a civil war of a small country .	1
events go from tragic to dangerous as racism , paranoia , and a secret mistress come into play .	1
in an isolated town named raccoon city , the largest corporate supplier of healthcare , medical supplies , and defense technology has a secret research facility located half a mile underground called the hive .	1
after listening to looser friends talk about what silvester stallone would do in his situation , the postal worker decides to buy a ticket to china and follow his love to her home .	1
